x (m),y (m),dy/dx,residuo_numerico,y_polinomio,diferenca_abs
2.59000000,13.35734695,-0.57193054,0.00000000,13.35738005,0.00003309
2.60000000,13.35163001,-0.57145827,0.00000000,13.35166302,0.00003301
2.61000000,13.34591779,-0.57098609,0.00000000,13.34595071,0.00003292
2.62000000,13.34021029,-0.57051401,0.00000000,13.34024312,0.00003283
2.63000000,13.33450751,-0.57004203,0.00000000,13.33454025,0.00003274
2.64000000,13.32880945,-0.56957014,0.00000000,13.32884210,0.00003265
2.65000000,13.32311610,-0.56909835,0.00000000,13.32314866,0.00003255
2.66000000,13.31742748,-0.56862665,0.00000000,13.31745994,0.00003246
2.67000000,13.31174357,-0.56815505,0.00000000,13.31177593,0.00003236
2.68000000,13.30606438,-0.56768354,0.00000000,13.30609664,0.00003226
2.69000000,13.30038990,-0.56721213,0.00000000,13.30042205,0.00003215
2.70000000,13.29472014,-0.56674082,0.00000000,13.29475219,0.00003205
2.71000000,13.28905508,-0.56626960,0.00000000,13.28908703,0.00003194
2.72000000,13.28339474,-0.56579847,0.00000000,13.28342658,0.00003184
2.73000000,13.27773911,-0.56532744,0.00000000,13.27777084,0.00003173
2.74000000,13.27208819,-0.56485651,0.00000000,13.27211981,0.00003162
2.75000000,13.26644198,-0.56438567,0.00000000,13.26647349,0.00003150
2.76000000,13.26080048,-0.56391493,0.00000000,13.26083187,0.00003139
2.77000000,13.25516368,-0.56344428,0.00000000,13.25519496,0.00003127
2.78000000,13.24953159,-0.56297372,0.00000000,13.24956275,0.00003115
2.79000000,13.24390421,-0.56250326,0.00000000,13.24393524,0.00003103
2.80000000,13.23828153,-0.56203289,0.00000000,13.23831244,0.00003091
2.81000000,13.23266355,-0.56156262,0.00000000,13.23269434,0.00003079
2.82000000,13.22705028,-0.56109245,0.00000000,13.22708094,0.00003066
2.83000000,13.22144170,-0.56062236,0.00000000,13.22147224,0.00003054
2.84000000,13.21583783,-0.56015238,0.00000000,13.21586824,0.00003041
2.85000000,13.21023865,-0.55968248,0.00000000,13.21026894,0.00003028
2.86000000,13.20464418,-0.55921268,0.00000000,13.20467433,0.00003015
2.87000000,13.19905440,-0.55874297,0.00000000,13.19908442,0.00003002
2.88000000,13.19346932,-0.55827336,0.00000000,13.19349920,0.00002989
2.89000000,13.18788893,-0.55780384,0.00000000,13.18791868,0.00002975
2.90000000,13.18231324,-0.55733442,0.00000000,13.18234286,0.00002961
2.91000000,13.17674224,-0.55686509,0.00000000,13.17677172,0.00002948
2.92000000,13.17117594,-0.55639585,0.00000000,13.17120528,0.00002934
2.93000000,13.16561433,-0.55592671,0.00000000,13.16564352,0.00002919
2.94000000,13.16005741,-0.55545766,0.00000000,13.16008646,0.00002905
2.95000000,13.15450517,-0.55498870,0.00000000,13.15453408,0.00002891
2.96000000,13.14895763,-0.55451984,0.00000000,13.14898639,0.00002876
2.97000000,13.14341478,-0.55405107,0.00000000,13.14344339,0.00002862
2.98000000,13.13787661,-0.55358239,0.00000000,13.13790508,0.00002847
2.99000000,13.13234313,-0.55311380,0.00000000,13.13237145,0.00002832
3.00000000,13.12681433,-0.55264531,0.00000000,13.12684250,0.00002817
3.01000000,13.12129022,-0.55217691,0.00000000,13.12131824,0.00002802
3.02000000,13.11577079,-0.55170861,0.00000000,13.11579866,0.00002787
3.03000000,13.11025605,-0.55124040,0.00000000,13.11028376,0.00002771
3.04000000,13.10474599,-0.55077228,0.00000000,13.10477354,0.00002756
3.05000000,13.09924060,-0.55030425,0.00000000,13.09926800,0.00002740
3.06000000,13.09373990,-0.54983631,0.00000000,13.09376714,0.00002724
3.07000000,13.08824388,-0.54936847,0.00000000,13.08827096,0.00002708
3.08000000,13.08275253,-0.54890072,0.00000000,13.08277946,0.00002692
3.09000000,13.07726586,-0.54843306,0.00000000,13.07729263,0.00002676
3.10000000,13.07178387,-0.54796550,0.00000000,13.07181047,0.00002660
3.11000000,13.06630655,-0.54749802,0.00000000,13.06633299,0.00002644
3.12000000,13.06083391,-0.54703064,0.00000000,13.06086018,0.00002627
3.13000000,13.05536594,-0.54656335,0.00000000,13.05539205,0.00002611
3.14000000,13.04990264,-0.54609615,0.00000000,13.04992858,0.00002594
3.15000000,13.04444402,-0.54562905,0.00000000,13.04446979,0.00002577
3.16000000,13.03899006,-0.54516203,0.00000000,13.03901566,0.00002560
3.17000000,13.03354077,-0.54469511,0.00000000,13.03356621,0.00002543
3.18000000,13.02809616,-0.54422828,0.00000000,13.02812142,0.00002526
3.19000000,13.02265621,-0.54376154,0.00000000,13.02268130,0.00002509
3.20000000,13.01722093,-0.54329489,0.00000000,13.01724585,0.00002492
3.21000000,13.01179031,-0.54282833,0.00000000,13.01181506,0.00002474
3.22000000,13.00636436,-0.54236187,0.00000000,13.00638893,0.00002457
3.23000000,13.00094307,-0.54189549,0.00000000,13.00096747,0.00002439
3.24000000,12.99552645,-0.54142921,0.00000000,12.99555067,0.00002422
3.25000000,12.99011449,-0.54096302,0.00000000,12.99013853,0.00002404
3.26000000,12.98470719,-0.54049692,0.00000000,12.98473105,0.00002386
3.27000000,12.97930455,-0.54003091,0.00000000,12.97932823,0.00002368
3.28000000,12.97390657,-0.53956499,0.00000000,12.97393007,0.00002350
3.29000000,12.96851325,-0.53909916,0.00000000,12.96853657,0.00002332
3.30000000,12.96312459,-0.53863342,0.00000000,12.96314773,0.00002314
3.31000000,12.95774058,-0.53816777,0.00000000,12.95776354,0.00002296
3.32000000,12.95236123,-0.53770221,0.00000000,12.95238401,0.00002277
3.33000000,12.94698654,-0.53723675,0.00000000,12.94700913,0.00002259
3.34000000,12.94161650,-0.53677137,0.00000000,12.94163890,0.00002241
3.35000000,12.93625111,-0.53630608,0.00000000,12.93627333,0.00002222
3.36000000,12.93089037,-0.53584089,0.00000000,12.93091241,0.00002203
3.37000000,12.92553429,-0.53537578,0.00000000,12.92555614,0.00002185
3.38000000,12.92018286,-0.53491076,0.00000000,12.92020452,0.00002166
3.39000000,12.91483608,-0.53444584,0.00000000,12.91485754,0.00002147
3.40000000,12.90949394,-0.53398100,0.00000000,12.90951522,0.00002128
3.41000000,12.90415646,-0.53351625,0.00000000,12.90417754,0.00002109
3.42000000,12.89882362,-0.53305160,0.00000000,12.89884451,0.00002090
3.43000000,12.89349542,-0.53258703,0.00000000,12.89351613,0.00002071
3.44000000,12.88817188,-0.53212255,0.00000000,12.88819239,0.00002052
3.45000000,12.88285297,-0.53165816,0.00000000,12.88287329,0.00002032
3.46000000,12.87753871,-0.53119386,0.00000000,12.87755884,0.00002013
3.47000000,12.87222909,-0.53072965,0.00000000,12.87224903,0.00001994
3.48000000,12.86692412,-0.53026553,0.00000000,12.86694386,0.00001974
3.49000000,12.86162378,-0.52980150,0.00000000,12.86164333,0.00001955
3.50000000,12.85632809,-0.52933756,0.00000000,12.85634744,0.00001935
3.51000000,12.85103703,-0.52887371,0.00000000,12.85105619,0.00001915
3.52000000,12.84575061,-0.52840994,0.00000000,12.84576957,0.00001896
3.53000000,12.84046883,-0.52794626,0.00000000,12.84048759,0.00001876
3.54000000,12.83519169,-0.52748268,0.00000000,12.83521025,0.00001856
3.55000000,12.82991918,-0.52701918,0.00000000,12.82993754,0.00001836
3.56000000,12.82465130,-0.52655577,0.00000000,12.82466947,0.00001817
3.57000000,12.81938806,-0.52609245,0.00000000,12.81940603,0.00001797
3.58000000,12.81412945,-0.52562922,0.00000000,12.81414722,0.00001777
3.59000000,12.80887548,-0.52516607,0.00000000,12.80889305,0.00001757
3.60000000,12.80362613,-0.52470302,0.00000000,12.80364350,0.00001737
3.61000000,12.79838142,-0.52424005,0.00000000,12.79839858,0.00001717
3.62000000,12.79314133,-0.52377717,0.00000000,12.79315830,0.00001696
3.63000000,12.78790587,-0.52331438,0.00000000,12.78792264,0.00001676
3.64000000,12.78267504,-0.52285167,0.00000000,12.78269160,0.00001656
3.65000000,12.77744884,-0.52238906,0.00000000,12.77746520,0.00001636
3.66000000,12.77222726,-0.52192653,0.00000000,12.77224342,0.00001615
3.67000000,12.76701031,-0.52146409,0.00000000,12.76702626,0.00001595
3.68000000,12.76179798,-0.52100173,0.00000000,12.76181373,0.00001575
3.69000000,12.75659027,-0.52053947,0.00000000,12.75660582,0.00001554
3.70000000,12.75138719,-0.52007729,0.00000000,12.75140253,0.00001534
3.71000000,12.74618873,-0.51961520,0.00000000,12.74620386,0.00001513
3.72000000,12.74099489,-0.51915320,0.00000000,12.74100982,0.00001493
